vehicle_id,title,description,availability,state_of_vehicle,price,url,image,make,model,year,body_style,mileage.unit,mileage.value,address.addr1,address.city,address.region,address.postal_code,address.country
PL-3966,2020 Kenworth T370,"2020 Kenworth T370 Box Truck - PX9 - 320HP / 1000 - 3000RDS - 6 SPD - 26'x103""x102"" Morgan Body - 5000lb Maxon Lift Gate",AVAILABLE,USED,45900.00 USD,https://www.palmertrucks.com/truck-details/category-Box-Truck/make-Kenworth/model-T370/vin-2NKHLJ9X4LM390221/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-3966/068Ux00000SyHqlIAF,Kenworth,T370,2020,TRUCK,MI,164080,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
PL-4086,2021 Kenworth T370,"2021 Kenworth T370 Tandem Axle Box Truck, PX9, 320hp, Allison Auto, 14.6k FA, 40k RA",AVAILABLE,USED,61900.00 USD,https://www.palmertrucks.com/truck-details/category-Box-Truck/make-Kenworth/model-T370/vin-2NKHLJ9X2MM428627/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4086/068Ux00000TcajLIAR,Kenworth,T370,2021,TRUCK,MI,121836,1010 Outer Belt W.,Effingham,IL,62401,United States
PL-4208,2022 Kenworth T680,"2022 Kenworth T680, 76"" Mid-Roof Sleeper, X15, 12 Speed AMT",AVAILABLE,USED,59900.00 USD,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X3NJ482290/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4208/068Ux00000QUizCIAT,Kenworth,T680,2022,TRUCK,MI,424745,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
PL-4323,2023 Kenworth T880,2023 Kenworth T880  Dump Truck - MX13 - 455 HP / 1650 - 4500RDS - 6 SPD,AVAILABLE,USED,184900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTXXPJ156876/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4323/068Ux00000TerEdIAJ,Kenworth,T880,2023,TRUCK,MI,118356,2929 South Holt RD.,Indianapolis,IN,46241,United States
PL-4324,2023 Kenworth T880,2023 Kenworth T880 Tri Axle Dump Truck - MX13 - 455HP / 1650 - 4500RDS - 6 SPD,AVAILABLE,USED,184900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX1PJ156877/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4324/068Ux00000U7P6sIAF,Kenworth,T880,2023,TRUCK,MI,129442,2929 South Holt RD.,Indianapolis,IN,46241,United States
PL-4328,2023 Kenworth T880,"2023 Kenworth T880, Tri-Axle Dump Truck, MX13, 455hp, Allison 4500RDS",AVAILABLE,USED,179900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX3PJ156881/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4328/068Ux00000Temd7IAB,Kenworth,T880,2023,TRUCK,MI,189133,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
PL-4329,2023 Kenworth T880,2023 Kenworth T880 - Tri Axle Dump Truck - MX13 - Allison 4500RDS,AVAILABLE,USED,179900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX5PJ156882/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4329/068Ux00000N8WtYIAV,Kenworth,T880,2023,TRUCK,MI,172897,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
PL-4374,2023 Kenworth T880,2023 Kenworth T880 - Tri-Axle Dump Truck - MX13 - 455HP / 1650 - 4500RDS - 6 SPD,AVAILABLE,USED,189900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX8PJ156911/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4374/068Ux00000U8hhfIAB,Kenworth,T880,2023,TRUCK,MI,80181,1040 E. Mount Pleasant Rd.,Evansville,IN,47725,United States
PL-4376,2023 Kenworth T880,"2023 Kenworth T880, Tri-Axle Dump, MX13, Allison 4500RDS",AVAILABLE,USED,179900.00 USD,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX1PJ156913/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4376/068Ux00000RCM8VIAX,Kenworth,T880,2023,TRUCK,MI,180824,3535 Coliseum Blvd W,Fort Wayne,IN,46808,United States
PL-4300,2023 Kenworth T880,"2023 Kenworth T880, Quad Axle Roll-Off, X15, 4500RDS",AVAILABLE,USED,194900.00 USD,https://www.palmertrucks.com/truck-details/category-Roll-Off/make-Kenworth/model-T880/vin-1NKZX4TX8PJ148273/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4300/068Ux00000RDQupIAH,Kenworth,T880,2023,TRUCK,MI,173910,2929 South Holt RD.,Indianapolis,IN,46241,United States
