ID,ID2,Final URL,Image URL,Item title,Item subtitle,Item description,Item address,Item category,Price,Formatted price,Sale price,Formatted sale price,Contextual keywords,Tracking template,Android app link,iOS app link,iOS app store ID,Similar IDs,Status
PL-4330,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX7PJ156883/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4330/068Ux00000ylB2OIAU,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, PACCAR MX-13, 455 HP, Automatic, Diesel","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,179900.00 USD,,,,Dump Truck; TRI-AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR MX-13,,,,,,Eligible
PL-4340,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTXXPJ156893/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4340/068Ux00000oyZFqIAM,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, PACCAR MX-13, 455 HP, Automatic, Diesel","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,179900.00 USD,,,,Dump Truck; TRI-AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR MX-13,,,,,,Eligible
PL-4356,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX9PJ156917/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4356/068Ux00000jl1lJIAQ,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, PACCAR MX-13, 455 HP, Automatic, Diesel","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,174900.00 USD,,,,Dump Truck; TRI-AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR MX-13,,,,,,Eligible
PL-4381,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX3PJ157562/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4381/068Ux00000yqiEdIAI,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, PACCAR MX-13, 455 HP, Automatic, Diesel","7740 Center Point 70 Blvd., Dayton, OH, 45424, United States",Dump Truck,199900.00 USD,,,,Dump Truck; QUINT AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR MX-13,,,,,,Eligible
PL-4388,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX6PJ157569/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4388/068Ux00000yGic4IAC,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, PACCAR MX-13, 455 HP, Automatic, Diesel","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,199900.00 USD,,,,Dump Truck; QUAD AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR MX-13,,,,,,Eligible
PL-4315,,https://www.palmertrucks.com/truck-details/category-Sleeper/make-Kenworth/model-T680/vin-1XKYD49X5PJ148264/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4315/068Ux00000mnIMjIAM,2023 Kenworth T680,Used | Sleeper,"Used, 2023 Kenworth T680, Sleeper, Cummins X-15, 500 HP, Automatic, Diesel","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Sleeper,69900.00 USD,,,,Sleeper; TAS; Used; Kenworth; T680; Class 8; Diesel; Automatic; Cummins X-15,,,,,,Eligible
PL-4321,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX6PJ156874/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4321/068Ux00000gZes1IAC,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, MX13, 455 HP, Automatic, Diesel","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,179900.00 USD,,,,Dump Truck; TRI-AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX13,,,,,,Eligible
PL-4322,,https://www.palmertrucks.com/truck-details/category-Dump-Truck/make-Kenworth/model-T880/vin-1NKZXPTX8PJ156875/,https://d8lxo54bt1xl7.cloudfront.net/prd/PL-4322/068Ux00000x3u8XIAQ,2023 Kenworth T880,Used | Dump Truck,"Used, 2023 Kenworth T880, Dump Truck, MX13, 455 HP, Automatic, Diesel","1040 E. Mount Pleasant Rd., Evansville, IN, 47725, United States",Dump Truck,179900.00 USD,,,,Dump Truck; TRI-AXLE DUMP; Used; Kenworth; T880; Class 8; Diesel; Automatic; PACCAR; MX13,,,,,,Eligible
167905,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HJ6X6SM167905/,https://d8lxo54bt1xl7.cloudfront.net/prd/167905/068Ux00000t1ivTIAQ,2025 Kenworth T280,New | Dump Truck,"2025, Kenworth, T280 Cab & Chassis, Air-Ride, Paccar, 350HP, Allison, Auto, White, 11R22.5, 5.25, 154"" CA, 12' Beau-Roc Contractor Dump Body","2929 South Holt RD., Indianapolis, IN, 46241, United States",Dump Truck,135800.00 USD,,,,Dump Truck; Cab & Chassis; Roll-Off; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
583875,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-K270E/vin-3BKJHL6X9SF583875/,https://d8lxo54bt1xl7.cloudfront.net/prd/583875/068Ux00000RiDTTIA3,2026 Kenworth K270E,New | Box Truck,"2026 Kenworth K270E, All Electric 26' Box Truck, DANA TM4 ELECTRIC MOTOR - MDHV2600, 26k GVWR","9704 E. 30th St., Indianapolis, IN, 46229, United States",Box Truck,289900.00 USD,,,,Box Truck; Cab & Chassis; New; Kenworth; K270E; Class 6; Electric Vehicle; Automatic; Other; MDHV2600 (154 kW),,,,,,Eligible
179620,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T380/vin-2NK4HJ7X2SM179620/,https://d8lxo54bt1xl7.cloudfront.net/prd/179620/068Ux00000IzM1FIAV,2025 Kenworth T380,New | Dump Truck,"2025 Kenworth T380 Cab & Chassis for Flatbed, PX9, Allison Auto, 180"" CA, 33K GVWR, 14' Beau-Roc Contractors Dump Body","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Dump Truck,133200.00 USD,,,,Dump Truck; Cab & Chassis; Flatbed; New; Kenworth; T380; Class 7; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
179612,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HJ6X7SM179612/,https://d8lxo54bt1xl7.cloudfront.net/prd/179612/068Ux00000qLOxWIAW,2025 Kenworth T280,New | Dump Truck,"2025 Kenworth T280 Cab & Chassis W/ 12' Dump Body, PX9, Allison Auto, 150"" CA, 26K GVWR","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Dump Truck,135200.00 USD,,,,Dump Truck; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
206726,,https://www.palmertrucks.com/truck-details/category-Day-Cab/make-Kenworth/model-T880/vin-1XKZDP9X1TJ206726/,https://d8lxo54bt1xl7.cloudfront.net/prd/206726/068Ux00000OpDevIAF,2026 Kenworth T880,New | Day Cab,"2026 Kenworth T880 Day Cab, MX13, 10 Speed Manual, Wet Line System included","6425 East State Road 42, Terre Haute, IN, 47803, United States",Day Cab,171900.00 USD,,,,Day Cab; New; Kenworth; T880; Class 8; Diesel; Manual; PACCAR; MX-13,,,,,,Eligible
193729,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZX4EX9TJ193729/,https://d8lxo54bt1xl7.cloudfront.net/prd/193729/068Ux00000p1b1qIAA,2026 Kenworth T880,New | Roll Off,"2026 Kenworth T880, Galbreath Tri-Axle Roll-Off, X15, Endurant 18 Pro 18 Speed AMT","65 Partnership Way, Cincinnati, OH, 45241, United States",Roll Off,276900.00 USD,,,,Roll Off; Cab & Chassis; Roll-Off; New; Kenworth; T880; Class 8; Diesel; Automated Manual; Cummins; X15,,,,,,Eligible
193724,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T880/vin-1NKZXPTX2TR193724/,https://d8lxo54bt1xl7.cloudfront.net/prd/193724/068Ux00000p2p16IAA,2026 Kenworth T880,New | Dump Truck,"2026 Kenworth T880, Palmer Power 6 Axle Dump, BeauRoc DL 21.5' Steel Body, MX13, XD18 Pro - 18 Speed AMT","65 Partnership Way, Cincinnati, OH, 45241, United States",Dump Truck,262500.00 USD,,,,Dump Truck; Cab & Chassis; New; Kenworth; T880; Class 8; Diesel; Automated Manual; PACCAR; MX-13,,,,,,Eligible
194285,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X1TM194285/,https://d8lxo54bt1xl7.cloudfront.net/prd/194285/068Ux00000ytAnNIAU,2026 Kenworth T280,New | Box Truck,"2026 Kenworth T280, 26' Box Truck with Lift Gate, PX-7, Allison 3000RDS","65 Partnership Way, Cincinnati, OH, 45241, United States",Box Truck,139900.00 USD,,,,Box Truck; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
208798,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T480/vin-2NK5LJ0X5TM208798/,https://d8lxo54bt1xl7.cloudfront.net/prd/208798/068Ux00000XwuTSIAZ,2026 Kenworth T480,New | Dump Truck,"2026 Kenworth T480, Tandem Dump, PX9 370hp, Allison 3000RDS, 16' BeauRoc DCS","9704 E. 30th St., Indianapolis, IN, 46229, United States",Dump Truck,203400.00 USD,,,,Dump Truck; Cab & Chassis; New; Kenworth; T480; Class 8; Diesel; Automatic; PACCAR; PX-9,,,,,,Eligible
194264,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X4TM194264/,https://d8lxo54bt1xl7.cloudfront.net/prd/194264/068Ux00000QLSGwIAP,2026 Kenworth T280,New | Flatbed,"2026 Kenworth T280, 24' Flatbed, PX-7, Allison 3000RDS","3535 Coliseum Blvd W, Fort Wayne, IN, 46808, United States",Flatbed,127500.00 USD,,,,Flatbed; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
194267,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6XXTM194267/,https://d8lxo54bt1xl7.cloudfront.net/prd/194267/068Ux00000UD6MfIAL,2026 Kenworth T280,New | Cab & Chassis,"2026 Kenworth T280, 14' Beau-Roc Dump body installed, PX7, 325hp, Allison, 10k FA, 16k RA, 202"" Cab-to-Axle","2929 South Holt RD., Indianapolis, IN, 46241, United States",Cab & Chassis,136600.00 USD,,,,Cab & Chassis; Dump Truck; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
194329,,https://www.palmertrucks.com/truck-details/category-Cab-&-Chassis/make-Kenworth/model-T280/vin-2NK3HM6X6TM194329/,https://d8lxo54bt1xl7.cloudfront.net/prd/194329/068Ux00000XZFlyIAH,2026 Kenworth T280,New | Box Truck,"2026 Kenworth T280, 26' Box Truck with Lift Gate, PX-7, 325hp, Allison Automatic, Great Dane Body, 3,000 lbs. Maxon Tuck Away Lift Gate","131 Parker Ave, Bowling Green, KY, 42101, United States",Box Truck,142900.00 USD,,,,Box Truck; Cab & Chassis; New; Kenworth; T280; Class 6; Diesel; Automatic; PACCAR; PX-7,,,,,,Eligible
